id,pubdate,byline,gender_by_pronoun,gender_by_byline
100112,Wed, 07 Oct 2009 14:11:03 +0000,Vilhelm Konnander,Unknown,Male
100118,Wed, 07 Oct 2009 14:21:50 +0000,Vilhelm Konnander,Unknown,Male
100120,Wed, 07 Oct 2009 14:31:43 +0000,Vilhelm Konnander,Unknown,Male
100124,Wed, 07 Oct 2009 14:37:18 +0000,Vilhelm Konnander,Unknown,Male
100139,Sat, 24 Oct 2009 19:48:54 +0000,Juliana Rincón Parra,Neutral,Female
100181,Wed, 07 Oct 2009 23:50:48 +0000,Veronica Khokhlova,Unknown,Female
100537,Fri, 09 Oct 2009 23:39:43 +0000,Veronica Khokhlova,Unknown,Female
100539,Fri, 09 Oct 2009 23:45:32 +0000,Veronica Khokhlova,Unknown,Female
100541,Fri, 09 Oct 2009 23:55:13 +0000,Veronica Khokhlova,Unknown,Female
100543,Sat, 10 Oct 2009 00:02:27 +0000,Veronica Khokhlova,Unknown,Female
100545,Sat, 10 Oct 2009 00:15:16 +0000,Veronica Khokhlova,Unknown,Female
100547,Sat, 10 Oct 2009 00:20:49 +0000,Veronica Khokhlova,Neutral,Female
100549,Sat, 10 Oct 2009 00:45:52 +0000,Veronica Khokhlova,Unknown,Female
100551,Sat, 10 Oct 2009 00:59:08 +0000,Veronica Khokhlova,Unknown,Female
100553,Sat, 10 Oct 2009 01:01:59 +0000,Veronica Khokhlova,Unknown,Female
100555,Sat, 10 Oct 2009 01:13:45 +0000,Veronica Khokhlova,Unknown,Female
100557,Sat, 10 Oct 2009 01:24:35 +0000,Veronica Khokhlova,Unknown,Female
10068,Mon, 08 May 2006 21:19:01 +0000,Veronica Khokhlova,Unknown,Female
10069,Mon, 08 May 2006 21:25:42 +0000,Veronica Khokhlova,Unknown,Female
10070,Mon, 08 May 2006 21:26:29 +0000,Veronica Khokhlova,Unknown,Female
10071,Mon, 08 May 2006 21:30:50 +0000,Veronica Khokhlova,Unknown,Female
10072,Mon, 08 May 2006 21:22:14 +0000,Veronica Khokhlova,Unknown,Female
100755,Sat, 10 Oct 2009 23:32:19 +0000,Veronica Khokhlova,Unknown,Female
100758,Sat, 10 Oct 2009 23:39:40 +0000,Veronica Khokhlova,Unknown,Female
10076,Mon, 08 May 2006 21:22:43 +0000,Veronica Khokhlova,Unknown,Female
100761,Sat, 10 Oct 2009 23:56:08 +0000,Veronica Khokhlova,Unknown,Female
100763,Sun, 11 Oct 2009 00:27:15 +0000,Veronica Khokhlova,Unknown,Female
100768,Sun, 11 Oct 2009 00:48:31 +0000,Veronica Khokhlova,Unknown,Female
100770,Sun, 11 Oct 2009 01:01:04 +0000,Veronica Khokhlova,Unknown,Female
100772,Sun, 11 Oct 2009 01:04:48 +0000,Veronica Khokhlova,Unknown,Female
100774,Sun, 11 Oct 2009 01:17:23 +0000,Veronica Khokhlova,Unknown,Female
10078,Mon, 08 May 2006 21:24:36 +0000,Veronica Khokhlova,Male,Female
10079,Mon, 08 May 2006 21:27:24 +0000,Veronica Khokhlova,Unknown,Female
1008,Sat, 06 Aug 2005 16:32:57 +0000,Paul Frankenstein,Unknown,Male
10081,Mon, 08 May 2006 21:27:07 +0000,Veronica Khokhlova,Male,Female
10082,Mon, 08 May 2006 21:27:45 +0000,Veronica Khokhlova,Unknown,Female
10085,Mon, 08 May 2006 21:29:05 +0000,Veronica Khokhlova,Unknown,Female
100852,Sun, 11 Oct 2009 20:39:05 +0000,Veronica Khokhlova,Unknown,Female
100854,Sun, 11 Oct 2009 22:46:41 +0000,Veronica Khokhlova,Unknown,Female
100856,Sun, 11 Oct 2009 22:52:48 +0000,Veronica Khokhlova,Unknown,Female
100858,Sun, 11 Oct 2009 22:56:41 +0000,Veronica Khokhlova,Unknown,Female
10086,Mon, 08 May 2006 21:31:50 +0000,Veronica Khokhlova,Unknown,Female
100860,Sun, 11 Oct 2009 22:59:17 +0000,Veronica Khokhlova,Unknown,Female
100865,Sun, 11 Oct 2009 23:30:04 +0000,Veronica Khokhlova,Unknown,Female
10087,Mon, 08 May 2006 21:33:17 +0000,Veronica Khokhlova,Unknown,Female
100955,Mon, 12 Oct 2009 23:20:18 +0000,Veronica Khokhlova,Unknown,Female
100959,Mon, 12 Oct 2009 23:40:16 +0000,Veronica Khokhlova,Unknown,Female
100961,Mon, 12 Oct 2009 23:43:18 +0000,Veronica Khokhlova,Unknown,Female
101086,Tue, 13 Oct 2009 21:51:41 +0000,Veronica Khokhlova,Unknown,Female
101212,Wed, 14 Oct 2009 22:40:53 +0000,Veronica Khokhlova,Unknown,Female
101220,Wed, 14 Oct 2009 23:06:06 +0000,Veronica Khokhlova,Unknown,Female
101229,Wed, 14 Oct 2009 23:33:00 +0000,Veronica Khokhlova,Unknown,Female
101232,Mon, 19 Oct 2009 01:53:34 +0000,Veronica Khokhlova,Neutral,Female
10124,Tue, 09 May 2006 21:16:55 +0000,Veronica Khokhlova,Neutral,Female
101265,Thu, 15 Oct 2009 07:08:44 +0000,David Sasaki,Female,Male
101451,Sun, 18 Oct 2009 01:31:59 +0000,M L,Neutral,Unknown
10148,Wed, 10 May 2006 00:16:07 +0000,Veronica Khokhlova,Female,Female
10150,Wed, 10 May 2006 00:17:34 +0000,Veronica Khokhlova,Unknown,Female
10153,Wed, 10 May 2006 00:18:28 +0000,Veronica Khokhlova,Unknown,Female
10154,Wed, 10 May 2006 00:19:02 +0000,Veronica Khokhlova,Male,Female
10155,Wed, 10 May 2006 00:15:49 +0000,Veronica Khokhlova,Unknown,Female
10192,Wed, 10 May 2006 21:07:31 +0000,Veronica Khokhlova,Male,Female
10194,Wed, 10 May 2006 21:11:26 +0000,Veronica Khokhlova,Unknown,Female
10195,Wed, 10 May 2006 21:09:44 +0000,Veronica Khokhlova,Male,Female
10196,Wed, 10 May 2006 21:10:55 +0000,Veronica Khokhlova,Unknown,Female
10197,Wed, 10 May 2006 21:11:52 +0000,Veronica Khokhlova,Unknown,Female
10199,Thu, 11 May 2006 10:57:08 +0000,Jordan & Maria Seidel,Neutral,Male
10200,Wed, 10 May 2006 21:12:29 +0000,Veronica Khokhlova,Unknown,Female
10222,Thu, 11 May 2006 10:55:22 +0000,Veronica Khokhlova,Female,Female
10224,Thu, 11 May 2006 10:49:46 +0000,Veronica Khokhlova,Male,Female
102240,Wed, 21 Oct 2009 00:40:51 +0000,Veronica Khokhlova,Unknown,Female
102242,Wed, 21 Oct 2009 00:43:47 +0000,Veronica Khokhlova,Unknown,Female
102285,Wed, 21 Oct 2009 12:46:17 +0000,Veronica Khokhlova,Unknown,Female
102287,Wed, 21 Oct 2009 12:53:52 +0000,Veronica Khokhlova,Unknown,Female
102290,Wed, 21 Oct 2009 13:02:10 +0000,Veronica Khokhlova,Male,Female
10230,Thu, 11 May 2006 10:50:20 +0000,Veronica Khokhlova,Female,Female
10233,Thu, 11 May 2006 10:52:38 +0000,Veronica Khokhlova,Unknown,Female
10237,Thu, 11 May 2006 10:54:55 +0000,Veronica Khokhlova,Unknown,Female
10238,Thu, 11 May 2006 10:53:39 +0000,Veronica Khokhlova,Female,Female
10239,Thu, 11 May 2006 10:54:05 +0000,Veronica Khokhlova,Unknown,Female
10240,Thu, 11 May 2006 10:50:42 +0000,Veronica Khokhlova,Neutral,Female
102408,Wed, 21 Oct 2009 23:19:46 +0000,Veronica Khokhlova,Unknown,Female
102410,Wed, 21 Oct 2009 23:30:51 +0000,Veronica Khokhlova,Unknown,Female
102412,Wed, 21 Oct 2009 23:41:09 +0000,Veronica Khokhlova,Unknown,Female
102414,Fri, 23 Oct 2009 01:38:21 +0000,Veronica Khokhlova,Neutral,Female
10305,Fri, 12 May 2006 23:10:03 +0000,Veronica Khokhlova,Neutral,Female
10310,Fri, 12 May 2006 23:10:23 +0000,Veronica Khokhlova,Unknown,Female
103111,Wed, 28 Oct 2009 00:29:26 +0000,M L,Neutral,Unknown
10317,Fri, 12 May 2006 22:27:38 +0000,Veronica Khokhlova,Neutral,Female
10318,Fri, 12 May 2006 23:13:22 +0000,Veronica Khokhlova,Unknown,Female
10319,Fri, 12 May 2006 23:16:37 +0000,Veronica Khokhlova,Male,Female
10320,Fri, 12 May 2006 23:16:54 +0000,Veronica Khokhlova,Unknown,Female
103394,Tue, 27 Oct 2009 11:38:47 +0000,David Sasaki,Female,Male
10341,Mon, 15 May 2006 05:50:02 +0000,Veronica Khokhlova,Unknown,Female
103410,Tue, 27 Oct 2009 13:31:06 +0000,Vilhelm Konnander,Unknown,Male
103419,Tue, 27 Oct 2009 13:39:31 +0000,Vilhelm Konnander,Unknown,Male
10342,Mon, 15 May 2006 05:50:34 +0000,Veronica Khokhlova,Male,Female
103427,Tue, 27 Oct 2009 13:54:50 +0000,Vilhelm Konnander,Unknown,Male
10343,Mon, 15 May 2006 05:53:40 +0000,Veronica Khokhlova,Female,Female
103433,Tue, 27 Oct 2009 14:02:37 +0000,Vilhelm Konnander,Unknown,Male
10349,Mon, 15 May 2006 05:54:10 +0000,Veronica Khokhlova,Unknown,Female
10351,Mon, 15 May 2006 05:56:37 +0000,Veronica Khokhlova,Neutral,Female
10353,Mon, 15 May 2006 05:57:30 +0000,Veronica Khokhlova,Neutral,Female
10354,Mon, 15 May 2006 05:52:43 +0000,Veronica Khokhlova,Unknown,Female
10356,Mon, 15 May 2006 06:40:53 +0000,Veronica Khokhlova,Unknown,Female
10357,Mon, 15 May 2006 07:08:42 +0000,Veronica Khokhlova,Unknown,Female
10359,Wed, 17 May 2006 10:29:24 +0000,Veronica Khokhlova,Neutral,Female
103723,Wed, 28 Oct 2009 22:35:13 +0000,Veronica Khokhlova,Unknown,Female
103725,Wed, 28 Oct 2009 23:19:31 +0000,Veronica Khokhlova,Unknown,Female
103734,Thu, 29 Oct 2009 00:15:40 +0000,Veronica Khokhlova,Unknown,Female
103737,Thu, 29 Oct 2009 00:37:29 +0000,Veronica Khokhlova,Female,Female
103743,Thu, 29 Oct 2009 01:01:34 +0000,Veronica Khokhlova,Unknown,Female
103745,Thu, 29 Oct 2009 01:52:10 +0000,Veronica Khokhlova,Unknown,Female
103747,Thu, 29 Oct 2009 02:02:36 +0000,Veronica Khokhlova,Unknown,Female
103749,Thu, 29 Oct 2009 02:26:39 +0000,Veronica Khokhlova,Unknown,Female
103751,Thu, 29 Oct 2009 02:34:18 +0000,Veronica Khokhlova,Unknown,Female
103753,Thu, 29 Oct 2009 02:38:50 +0000,Veronica Khokhlova,Unknown,Female
103842,Fri, 30 Oct 2009 00:29:42 +0000,Veronica Khokhlova,Unknown,Female
103850,Fri, 30 Oct 2009 01:32:21 +0000,Veronica Khokhlova,Unknown,Female
103852,Fri, 30 Oct 2009 02:00:43 +0000,Veronica Khokhlova,Unknown,Female
103854,Fri, 30 Oct 2009 02:07:44 +0000,Veronica Khokhlova,Unknown,Female
103856,Fri, 30 Oct 2009 02:26:14 +0000,Veronica Khokhlova,Unknown,Female
103858,Fri, 30 Oct 2009 02:41:22 +0000,Veronica Khokhlova,Unknown,Female
103979,Sat, 31 Oct 2009 03:26:11 +0000,Veronica Khokhlova,Neutral,Female
104167,Sun, 01 Nov 2009 23:53:49 +0000,Veronica Khokhlova,Unknown,Female
104169,Mon, 02 Nov 2009 00:33:13 +0000,Veronica Khokhlova,Unknown,Female
104178,Mon, 02 Nov 2009 00:41:22 +0000,Veronica Khokhlova,Unknown,Female
104180,Mon, 02 Nov 2009 01:05:59 +0000,Veronica Khokhlova,Unknown,Female
104182,Mon, 02 Nov 2009 20:54:37 +0000,Veronica Khokhlova,Unknown,Female
104320,Mon, 02 Nov 2009 21:08:24 +0000,Veronica Khokhlova,Unknown,Female
104353,Mon, 02 Nov 2009 22:34:37 +0000,Veronica Khokhlova,Unknown,Female
104356,Mon, 02 Nov 2009 22:58:05 +0000,Veronica Khokhlova,Unknown,Female
104359,Mon, 02 Nov 2009 23:02:00 +0000,Veronica Khokhlova,Unknown,Female
104364,Mon, 02 Nov 2009 23:06:52 +0000,Veronica Khokhlova,Unknown,Female
104383,Mon, 02 Nov 2009 23:27:44 +0000,Veronica Khokhlova,Unknown,Female
104385,Mon, 02 Nov 2009 23:34:14 +0000,Veronica Khokhlova,Unknown,Female
104388,Mon, 02 Nov 2009 23:59:44 +0000,Veronica Khokhlova,Unknown,Female
104396,Tue, 03 Nov 2009 00:20:13 +0000,Veronica Khokhlova,Unknown,Female
104399,Tue, 03 Nov 2009 00:29:36 +0000,Veronica Khokhlova,Unknown,Female
104403,Tue, 03 Nov 2009 00:37:48 +0000,Veronica Khokhlova,Unknown,Female
104405,Tue, 03 Nov 2009 00:42:13 +0000,Veronica Khokhlova,Unknown,Female
104408,Tue, 03 Nov 2009 00:46:59 +0000,Veronica Khokhlova,Unknown,Female
104411,Tue, 03 Nov 2009 00:58:32 +0000,Veronica Khokhlova,Unknown,Female
104414,Tue, 03 Nov 2009 01:12:11 +0000,Veronica Khokhlova,Neutral,Female
104416,Tue, 03 Nov 2009 01:19:38 +0000,Veronica Khokhlova,Unknown,Female
104419,Tue, 03 Nov 2009 01:26:08 +0000,Veronica Khokhlova,Unknown,Female
104421,Tue, 03 Nov 2009 01:30:28 +0000,Veronica Khokhlova,Unknown,Female
104423,Tue, 03 Nov 2009 01:34:07 +0000,Veronica Khokhlova,Unknown,Female
104425,Tue, 03 Nov 2009 01:39:45 +0000,Veronica Khokhlova,Unknown,Female
