id,pubdate,byline,gender_by_pronoun,gender_by_byline
100052,Wed, 07 Oct 2009 20:47:10 +0000,Maya Norton,Male,Female
100060,Wed, 07 Oct 2009 20:48:22 +0000,Maya Norton,Unknown,Female
100062,Wed, 07 Oct 2009 20:49:50 +0000,Maya Norton,Unknown,Female
100064,Wed, 07 Oct 2009 20:51:44 +0000,Maya Norton,Unknown,Female
100070,Wed, 07 Oct 2009 20:48:48 +0000,Maya Norton,Unknown,Female
100090,Thu, 08 Oct 2009 07:08:52 +0000,Riyadh Al Balushi,Unknown,Unknown
100146,Wed, 07 Oct 2009 19:52:32 +0000,Onnik Krikorian,Neutral,Male
10017,Sat, 06 May 2006 18:02:26 +0000,Salam Adil,Neutral,Male
100195,Thu, 08 Oct 2009 04:12:32 +0000,Deborah Ann Dilley,Unknown,Female
100198,Thu, 08 Oct 2009 04:17:30 +0000,Deborah Ann Dilley,Unknown,Female
10020,Sat, 06 May 2006 17:59:53 +0000,Fred Petrossian,Unknown,Male
100210,Thu, 08 Oct 2009 08:53:03 +0000,Marwa Rakha,Neutral,Female
100222,Thu, 08 Oct 2009 09:16:30 +0000,Marwa Rakha,Neutral,Female
10023,Sun, 07 May 2006 17:01:23 +0000,Haitham Sabbah,Neutral,Male
10024,Sun, 07 May 2006 17:21:39 +0000,Fred Petrossian,Unknown,Male
10025,Sun, 07 May 2006 16:56:09 +0000,Mohamed Marwen Meddah,Neutral,Male
10026,Mon, 08 May 2006 01:52:10 +0000,Anthony Katombe,Neutral,Male
10028,Mon, 08 May 2006 23:19:35 +0000,Elijah Zarwan,Neutral,Male
100314,Thu, 08 Oct 2009 21:41:44 +0000,Amira Al Hussaini,Unknown,Female
100316,Thu, 08 Oct 2009 21:50:29 +0000,Amira Al Hussaini,Unknown,Female
100318,Thu, 08 Oct 2009 21:54:57 +0000,Amira Al Hussaini,Unknown,Female
100320,Thu, 08 Oct 2009 21:56:30 +0000,Amira Al Hussaini,Unknown,Female
