name,likely_byline_gender
Vilhelm Konnander,Male
Juliana Rincón Parra,Female
Veronica Khokhlova,Female
Paul Frankenstein,Male
David Sasaki,Male
M L,Unknown
Jordan & Maria Seidel,Male
Alexey Sidorenko,Male
Jakub Górnicki,Male
Sinisa Boljanovic,Male
Sylwia Presley,Female
Vadim Isakov,Male
Filip Stojanovski,Male
Tibor Blazko,Male
Gregory Asmolov,Male
Andrei Skvarsky,Male
Georgia Popplewell,Female
Onnik Krikorian,Male
Nathan Hamm,Male
Luisetta Mudie,Female
El Hud,Male
Ruslan Trad,Male
Magda Pilat,Female
Haitham Sabbah,Male
Ana Keshelashvili,Female
Sonam Ongmo,Female
Raphael Tsavkko Garcia,Male
Rezwan,Male
Melissa De León,Female
Jillian C. York,Female
Jeff Ooi,Male
Ljubisa Bojic,Male
Ndesanjo Macha,Male
Mohamed Benderouiche,Male
Maryna Reshetnyak,Female
Elena Ignatova,Female
Lova Rakotomalala,Male
Rebecca MacKinnon,Female
Rebekah Heacock,Female
Danica Radisic,Female
Sameer Padania,Male
Aleks Tapinsh,Male
Ben Paarmann,Male
Danica Radovanovic,Female
Abdoulaye Bah,Male
Suzanne Lehn,Female
Juhie Bhatia,Female
Yelena Osipova,Female
The Economist,Unknown
Dan O'Huiginn,Male
Masha Egupova,Female
Fred Petrossian,Male
Sasa Milosevic,Male
Gavin Simpson,Male
Lee Yoo Eun,Male
Tetyana Bohdanova,Female
John Kennedy,Male
Arzu Geybullayeva,Female
Ashley Cleek,Female
Marianna Tishchenko,Male
Dmitry Davidov,Male
Afef Abrougui,Female
Ethan Zuckerman,Male
Amanda Michel,Female
Marina Litvinovich,Female
Viktor Markovic,Male
Andrea Arzaba,Female
Will Partlett,Male
Alice Backer,Female
Leila Tanayeva,Female
Lyndon,Male
Bernardo Parrella,Male
Diana Lungu,Female
Kasia Odrozek,Female
Veni Markovski,Female
Anna Gotowska,Female
Amira Al Hussaini,Female
Thalia Rahme,Female
Paula Góes,Female
Jennifer Brea,Female
Donna Welles,Female
Solana Larsen,Female
Neha Viswanathan,Female
Ekaterina,Female
Veroniki Krikoni,Female
Mihai Lukacs,Male
Oiwan Lam,Female
Maria Lelyuk,Female
Sven Hultberg Carlsson,Unknown
Chris Salzberg,Male
Juan Arellano,Male
Oana Maria Dan,Unknown
Jasmina Babic,Female
Rayna St.,Female
Atlatszo.hu,Unknown
sami ben gharbia,Unknown
Mirian Jugheli,Male
Orestis Fotiadis,Unknown
Kevin Rothrock,Male
Andrey Tselikov,Male
Rikki Brown,Female
Teplitsa,Unknown
Lova,Male
Augis Barkov,Male
Gilad Lotan,Male
Richard Wanjohi,Male
Karl Soper,Male
Andrew Young,Male
Emma Brewin,Female
Yulia Lukashina,Female
Elia Varela Serra,Female
Yavor Mihaylov,Male
Stan Faryna,Male
Margarete Hurn,Female
Marisa Duma,Female
Janine Mendes-Franco,Female
Scilla Alecci,Female
Mong Palatino,Male
Tomomi Sasaki,Female
Mikhail Larchanka,Male
Ruth Collins,Female
Artur Papyan,Male
Mikola Andrejeu,Male
Hoa Quach,Female
Ivan Sigal,Male
Gabriela García Calderón,Female
