name,likely_byline_gender
Maya Norton,Female
Riyadh Al Balushi,Unknown
Onnik Krikorian,Male
Salam Adil,Male
Deborah Ann Dilley,Female
Fred Petrossian,Male
Marwa Rakha,Female
Haitham Sabbah,Male
Mohamed Marwen Meddah,Male
Anthony Katombe,Male
Elijah Zarwan,Male
Amira Al Hussaini,Female
Tarek Amr,Male
Farah Kinani,Female
Ayesha Saldanha,Female
Veronica Khokhlova,Female
Layal Al Khatib,Unknown
Rachel Rawlins,Female
Anas Alaoui,Male
Lina Ben Mhenni,Female
Hisham Almiraat,Male
Anas Qtiesh,Male
Jillian C. York,Female
Alice Backer,Female
Antoun Issa,Male
Naseem Tarawnah,Male
Yazan Badran,Male
Eman AbdElRahman,Female
Mohammad Azraq,Male
Lova Rakotomalala,Male
Juliana Rincón Parra,Female
Katharine Ganly,Female
Shabina Khatri,Female
Jennifer Brea,Female
Obi,Female
Melissa De León,Female
John Kennedy,Male
Asteris Masouras,Male
Suzanne Lehn,Female
Raphael Tsavkko Garcia,Male
Rezwan,Male
Sokari Ekine,Female
Eduardo Avila,Male
David Sasaki,Male
Ndesanjo Macha,Male
Richard Wanjohi,Male
Ethan Zuckerman,Male
Georgia Popplewell,Female
Lisa N. Goldman,Female
Oiwan Lam,Female
Rachel Barenblat,Female
Renata Avila,Female
Mohamed ElGohary,Male
Ebtihal Mahadeen,Female
Bharat,Male
Nermeen Edrees,Female
Rebecca MacKinnon,Female
Carmel L. Vaisman,Female
Andrew Heavens,Male
Mays Dagher,Female
Hossein Derakhshan,Male
Anna Gueye,Female
Filip Stojanovski,Male
Moussa Bashir,Male
Ruslan Trad,Male
A. Fatih Syuhud,Unknown
Sonam Ongmo,Female
Karim Elsahy,Male
Luisetta Mudie,Female
Aparna Ray,Female
Neha Viswanathan,Female
Solana Larsen,Female
Derek Bambauer,Male
Preetam Rai,Male
Jennah Khaled,Female
Gilad Lotan,Male
Nicole Hyman,Female
Mohamed Benderouiche,Male
Ahmed Al-Omran,Male
Nawaf M. Al-Thani,Unknown
Rebekah Heacock,Female
Lee Yoo Eun,Male
Sameer Padania,Male
Nabila Taj,Female
Amanda Michel,Female
شمس أحمد,Female
Gabriel Nada,Male
Sara Moreira,Female
sami ben gharbia,Unknown
Gregory Asmolov,Male
Haifa Alrasheed,Female
Betsy Fisher,Female
Abdullatif AlOmar,Male
Alexey Sidorenko,Male
Gavin Simpson,Male
Roba Al Assi,Unknown
Dareen Al Saad,Unknown
Claire Ulrich,Female
João Miguel D. de A. Lima,Male
Fahad Albutairi,Male
Sasa Milosevic,Male
Aygun Janmammadova,Female
Fozia Mohamed,Female
Ivan Sigal,Male
Percy Balemans,Female
Simon Maghakyan,Male
Shaden Abdulrahman,Female
Nadine Toukan,Female
Gina Cardenas,Female
Ashley Cleek,Female
Sylwia Presley,Female
Paula Góes,Female
Julián Ortega Martínez,Unknown
Gabriela García Calderón,Female
Scilla Alecci,Female
Afef Abrougui,Female
Mahid (Sudanese Guardian),Male
Yacoub Al-Slaise,Male
Paul Frankenstein,Male
John Liebhardt,Male
Ammoun,Female
Abdoulaye Bah,Male
Deborah Esch,Female
Gershom Ndhlovu,Male
محمد الجوهري,Male
Ernesto Priego,Male
Omar Chatriwala,Male
Lara Dotson-Renta,Female
Jose Murilo,Male
samsoum,Male
Bader,Male
Marina Litvinovich,Female
Vilhelm Konnander,Male
Mona Kareem,Female
تاليا رحمة,Female
Thalia Rahme,Female
Lilian Wagdy,Female
Kubra,Female
Lulu Ahmed,Female
Leila Nachawati Rego,Female
Mohamed Nanabhay,Male
Laura Charron,Female
LIBALEL,Unknown
Maria Grabowski,Female
Jamillah Knowles,Female
Yaeli,Female
Hamza Daoui,Male
Ruwayda Mustafah,Female
Noon Arabia,Female
Ali Alhasani,Male
Pervin Muradli,Female
Elizabeth Tsurkov,Female
Robert Valencia,Male
Freedom For Egyptians,Unknown
Jehan Naseem,Female
Oluniyi D. Ajao,Male
Julie Owono,Female
Norbert Bousigue,Male
Madjid Zerrouky,Unknown
Lee Hyun Min,Male
Miran Hosny,Female
Mohamed Mesrati,Male
Ben Paarmann,Male
Juan Arellano,Male
Menna Alaa,Female
Hanako Tokita,Female
Bernardo Parrella,Male
Francois-Xavier Ada-Affana,Male
Nigar Hacizade,Female
Ahmed Medien,Male
محمد عادل,Male
Hadi Nili,Male
Richard de Araújo,Male
Super Sub-Editor,Unknown
Yasmeen El Khoudary,Female
D B Shobrawy,Unknown
Ola Anan,Female
Ahmed Awadalla,Male
Endalk,Unknown
رامي الهامس,Male
Veroniki Krikoni,Female
Salah Almhamdi,Male
محمد العامر,Male
Paola DOrazio,Female
Mostafa Hussein,Male
Jummana Kahlout,Female
Jose Manuel Tesoro,Male
طارق عمرو,Male
Joey Ayoub,Male
Laween Atroshi,Male
Stratos Moraitis,Male
أحمد جدو,Male
Mario Sorgalla,Male
Rayna St.,Female
Sara Sg,Female
Rana Baker,Female
DZCalling,Male
Maha El-Sanosi,Female
Diana Aqra,Female
Francois Bacha and Marie-Josée Rizkallah,Male
Osama Khalid,Male
Omid Bidar,Male
Sahar Habib Ghazi,Unknown
Mohammed Alamer,Male
محمد عبدو,Male
Super Sub-Editor 4,Unknown
Pablo Andres Rivero,Male
Anita Hunt,Female
Emma Brewin,Female
Janine Mendes-Franco,Female
Lydia Beyoud,Female
Abdurahman Warsame,Male
Naruto,Male
Mustapha,Male
