name,likely_byline_gender
Rebecca MacKinnon,Female
David Sasaki,Male
Neha Viswanathan,Female
Jorge Gobbi,Male
Oiwan Lam,Female
Rezwan,Male
Giga Paitchadze,Male
Maya Norton,Female
Nathan Hamm,Male
Alice Backer,Female
Riyadh Al Balushi,Unknown
Janine Mendes-Franco,Female
Vilhelm Konnander,Male
Juliana Rincón Parra,Female
Anas Qtiesh,Male
Onnik Krikorian,Male
Georgia Popplewell,Female
Salam Adil,Male
Veronica Khokhlova,Female
Deborah Ann Dilley,Female
Fred Petrossian,Male
Marwa Rakha,Female
Haute Haiku,Male
Melissa De León,Female
Haitham Sabbah,Male
Samuel Maina,Male
Scilla Alecci,Female
Adil Nurmakov,Male
Mohamed Marwen Meddah,Male
Anthony Katombe,Male
Sokari Ekine,Female
Elijah Zarwan,Male
Amira Al Hussaini,Female
Mong Palatino,Male
Robert Woo,Male
John Kennedy,Male
Preetam Rai,Male
Tarek Amr,Male
Winglok Hung,Male
Andriankoto Ratozamanana,Male
Claire Ulrich,Female
Richard Wanjohi,Male
Farah Kinani,Female
David Reid,Male
John Liebhardt,Male
Paula Góes,Female
Frank Dai,Male
Lester Bolicenni,Male
Saffah Faroog,Male
Ayesha Saldanha,Female
Juhie Bhatia,Female
Paul Frankenstein,Male
Juan Arellano,Male
Victor Kaonga,Male
Sara Moreira,Female
Eduardo Avila,Male
Rocio Diaz,Female
Daniel Chandranayagam,Male
Juliana Rotich,Female
Obi,Female
Portnoy Zheng,Male
Ethan Zuckerman,Male
Layal Al Khatib,Unknown
Firuzeh Shokooh Valle,Female
Abdurahman Warsame,Male
Bernardo Parrella,Male
Faisal Kapadia,Male
Jose Murilo,Male
Thiana Biondo,Female
Bhumika Ghimire,Female
Judith Townend,Female
Andy Yee,Male
Rachel Rawlins,Female
Ndesanjo Macha,Male
Diego Casaes,Male
Solana Larsen,Female
Asteris Masouras,Male
Angelo Embuldeniya,Male
M L,Unknown
Anas Alaoui,Male
Rosario Lizana,Unknown
Lina Ben Mhenni,Female
Mac-Jordan,Male
Kevin Rennie,Male
Abdoulaye Bah,Male
Fabienne Flessel,Female
Jillian C. York,Female
Hisham Almiraat,Male
Paramendra,Male
Jordan & Maria Seidel,Male
Imnakoya,Male
Renata Avila,Female
Marta Cooper,Female
Carolina,Female
Kamla Bhatt,Female
Syafique Shuib,Male
Chhunny Chhean,Female
Issa Villarreal,Female
Themis Aline,Female
Karlo Mikhail Mongaya,Male
Njeri Wangari,Female
Nicholas Laughlin,Male
Michael Kan,Male
Catalina Restrepo,Female
Chris Salzberg,Male
Rethabile,Male
Katharine Ganly,Female
Tomomi Sasaki,Female
Antoun Issa,Male
Tolkun,Male
Steve Sharra,Male
Eremipagamo Amabebe,Female
Jennifer Brea,Female
tan,Female
Tharum Bun,Male
Zimpundit,Male
Tim Muth,Male
Mario Blanco,Male
Oluniyi D. Ajao,Male
Aparna Ray,Female
Frederico Dava,Male
Naseem Tarawnah,Male
Nish Matenjwa,Female
Akshay,Male
Sana Saleem,Female
hj barraza,Male
Rodrigo Peñalba,Male
Suzanne Lehn,Female
Belen Bogado,Female
Yazan Badran,Male
Eman AbdElRahman,Female
Leonidas Mejia,Male
Mohammad Azraq,Male
sami ben gharbia,Unknown
Matt Holland,Male
Minax,Female
Alexey Sidorenko,Male
Laura Vidal,Female
Lova Rakotomalala,Male
Mack Zulkifli,Male
Gayle Pescud,Female
Maryna Reshetnyak,Female
George Esunge Fominyen,Male
