id,pubdate,byline,gender_by_pronoun,gender_by_byline,wc,pc
100112,Wed, 07 Oct 2009 14:11:03 +0000,Vilhelm Konnander,Unknown,Male,23,1
100118,Wed, 07 Oct 2009 14:21:50 +0000,Vilhelm Konnander,Unknown,Male,47,1
100120,Wed, 07 Oct 2009 14:31:43 +0000,Vilhelm Konnander,Unknown,Male,47,1
100124,Wed, 07 Oct 2009 14:37:18 +0000,Vilhelm Konnander,Unknown,Male,22,1
100139,Sat, 24 Oct 2009 19:48:54 +0000,Juliana Rincón Parra,Neutral,Female,1487,47
100181,Wed, 07 Oct 2009 23:50:48 +0000,Veronica Khokhlova,Unknown,Female,44,1
100537,Fri, 09 Oct 2009 23:39:43 +0000,Veronica Khokhlova,Unknown,Female,57,1
100539,Fri, 09 Oct 2009 23:45:32 +0000,Veronica Khokhlova,Unknown,Female,18,1
100541,Fri, 09 Oct 2009 23:55:13 +0000,Veronica Khokhlova,Unknown,Female,32,1
100543,Sat, 10 Oct 2009 00:02:27 +0000,Veronica Khokhlova,Unknown,Female,20,1
100545,Sat, 10 Oct 2009 00:15:16 +0000,Veronica Khokhlova,Unknown,Female,25,1
100547,Sat, 10 Oct 2009 00:20:49 +0000,Veronica Khokhlova,Neutral,Female,76,1
100549,Sat, 10 Oct 2009 00:45:52 +0000,Veronica Khokhlova,Unknown,Female,56,1
100551,Sat, 10 Oct 2009 00:59:08 +0000,Veronica Khokhlova,Unknown,Female,39,1
100553,Sat, 10 Oct 2009 01:01:59 +0000,Veronica Khokhlova,Unknown,Female,12,1
100555,Sat, 10 Oct 2009 01:13:45 +0000,Veronica Khokhlova,Unknown,Female,32,1
100557,Sat, 10 Oct 2009 01:24:35 +0000,Veronica Khokhlova,Unknown,Female,33,1
10068,Mon, 08 May 2006 21:19:01 +0000,Veronica Khokhlova,Unknown,Female,27,1
10069,Mon, 08 May 2006 21:25:42 +0000,Veronica Khokhlova,Unknown,Female,21,1
10070,Mon, 08 May 2006 21:26:29 +0000,Veronica Khokhlova,Unknown,Female,15,1
10071,Mon, 08 May 2006 21:30:50 +0000,Veronica Khokhlova,Unknown,Female,34,1
10072,Mon, 08 May 2006 21:22:14 +0000,Veronica Khokhlova,Unknown,Female,22,1
100755,Sat, 10 Oct 2009 23:32:19 +0000,Veronica Khokhlova,Unknown,Female,12,1
100758,Sat, 10 Oct 2009 23:39:40 +0000,Veronica Khokhlova,Unknown,Female,28,1
10076,Mon, 08 May 2006 21:22:43 +0000,Veronica Khokhlova,Unknown,Female,34,1
