id,pubdate,byline,gender_by_pronoun,gender_by_byline,wc,pc
1000,Fri, 05 Aug 2005 23:27:06 +0000,David Sasaki,Unknown,Male,30,1
100014,Wed, 07 Oct 2009 04:54:04 +0000,Jorge Gobbi,Neutral,Male,400,21
1001,Fri, 05 Aug 2005 23:29:27 +0000,David Sasaki,Male,Male,15,1
100109,Wed, 07 Oct 2009 14:08:44 +0000,Janine Mendes-Franco,Unknown,Female,43,1
10012,Sat, 06 May 2006 00:05:36 +0000,David Sasaki,Male,Male,27,1
10013,Sat, 06 May 2006 00:25:51 +0000,David Sasaki,Male,Male,138,1
100139,Sat, 24 Oct 2009 19:48:54 +0000,Juliana Rincón Parra,Neutral,Female,1487,47
10014,Sat, 06 May 2006 00:29:07 +0000,David Sasaki,Unknown,Male,21,1
10015,Sat, 06 May 2006 00:41:25 +0000,David Sasaki,Neutral,Male,124,1
1002,Fri, 05 Aug 2005 23:31:39 +0000,David Sasaki,Unknown,Male,16,1
10022,Sun, 07 May 2006 13:59:51 +0000,Melissa De León,Neutral,Female,924,29
100292,Thu, 08 Oct 2009 18:10:01 +0000,Juliana Rincón Parra,Unknown,Female,57,1
1003,Fri, 05 Aug 2005 23:36:31 +0000,David Sasaki,Unknown,Male,21,1
100479,Fri, 09 Oct 2009 19:20:43 +0000,Janine Mendes-Franco,Unknown,Female,18,1
100484,Fri, 09 Oct 2009 20:57:11 +0000,Janine Mendes-Franco,Neutral,Female,1044,82
100587,Sat, 10 Oct 2009 13:08:02 +0000,Paula Góes,Neutral,Female,988,65
100607,Thu, 15 Oct 2009 15:22:24 +0000,Lester Bolicenni,Neutral,Male,778,32
10073,Mon, 08 May 2006 20:35:28 +0000,Juan Arellano,Neutral,Male,498,17
100733,Sun, 11 Oct 2009 04:38:04 +0000,Juan Arellano,Neutral,Male,2358,117
100887,Mon, 12 Oct 2009 02:44:13 +0000,Eduardo Avila,Male,Male,43,1
100889,Mon, 12 Oct 2009 02:57:55 +0000,Eduardo Avila,Unknown,Male,36,1
