id,pubdate,byline,gender_by_pronoun,gender_by_byline,wc,pc
100052,Wed, 07 Oct 2009 20:47:10 +0000,Maya Norton,Male,Female,22,1
100060,Wed, 07 Oct 2009 20:48:22 +0000,Maya Norton,Unknown,Female,35,1
100062,Wed, 07 Oct 2009 20:49:50 +0000,Maya Norton,Unknown,Female,45,1
100064,Wed, 07 Oct 2009 20:51:44 +0000,Maya Norton,Unknown,Female,56,1
100070,Wed, 07 Oct 2009 20:48:48 +0000,Maya Norton,Unknown,Female,24,1
100090,Thu, 08 Oct 2009 07:08:52 +0000,Riyadh Al Balushi,Unknown,Unknown,203,9
100146,Wed, 07 Oct 2009 19:52:32 +0000,Onnik Krikorian,Neutral,Male,1308,75
10017,Sat, 06 May 2006 18:02:26 +0000,Salam Adil,Neutral,Male,2662,78
100195,Thu, 08 Oct 2009 04:12:32 +0000,Deborah Ann Dilley,Unknown,Female,59,1
100198,Thu, 08 Oct 2009 04:17:30 +0000,Deborah Ann Dilley,Unknown,Female,33,1
10020,Sat, 06 May 2006 17:59:53 +0000,Fred Petrossian,Unknown,Male,80,1
100210,Thu, 08 Oct 2009 08:53:03 +0000,Marwa Rakha,Neutral,Female,1572,63
100222,Thu, 08 Oct 2009 09:16:30 +0000,Marwa Rakha,Neutral,Female,81,1
10023,Sun, 07 May 2006 17:01:23 +0000,Haitham Sabbah,Neutral,Male,641,15
10024,Sun, 07 May 2006 17:21:39 +0000,Fred Petrossian,Unknown,Male,65,1
10025,Sun, 07 May 2006 16:56:09 +0000,Mohamed Marwen Meddah,Neutral,Male,562,16
10026,Mon, 08 May 2006 01:52:10 +0000,Anthony Katombe,Neutral,Male,914,44
10028,Mon, 08 May 2006 23:19:35 +0000,Elijah Zarwan,Neutral,Male,993,36
100314,Thu, 08 Oct 2009 21:41:44 +0000,Amira Al Hussaini,Unknown,Female,16,1
100316,Thu, 08 Oct 2009 21:50:29 +0000,Amira Al Hussaini,Unknown,Female,9,1
100318,Thu, 08 Oct 2009 21:54:57 +0000,Amira Al Hussaini,Unknown,Female,14,1
100320,Thu, 08 Oct 2009 21:56:30 +0000,Amira Al Hussaini,Unknown,Female,36,1
100322,Thu, 08 Oct 2009 21:57:33 +0000,Amira Al Hussaini,Unknown,Female,34,2
100324,Thu, 08 Oct 2009 21:58:27 +0000,Amira Al Hussaini,Unknown,Female,18,2
100327,Fri, 09 Oct 2009 08:36:24 +0000,Marwa Rakha,Neutral,Female,1394,66
100334,Fri, 09 Oct 2009 05:22:36 +0000,Fred Petrossian,Unknown,Male,23,1
100336,Fri, 09 Oct 2009 05:27:41 +0000,Fred Petrossian,Male,Male,18,1
100358,Fri, 09 Oct 2009 09:27:16 +0000,Riyadh Al Balushi,Neutral,Unknown,483,15
100410,Fri, 09 Oct 2009 21:38:51 +0000,Tarek Amr,Neutral,Male,740,58
10043,Mon, 08 May 2006 15:58:09 +0000,Haitham Sabbah,Neutral,Male,862,46
10055,Wed, 10 May 2006 17:17:21 +0000,Farah Kinani,Neutral,Female,788,57
100636,Sat, 17 Oct 2009 11:25:08 +0000,Ayesha Saldanha,Neutral,Female,792,20
10067,Mon, 08 May 2006 20:48:22 +0000,Salam Adil,Male,Male,50,1
100725,Sat, 10 Oct 2009 20:47:00 +0000,Amira Al Hussaini,Neutral,Female,769,63
100736,Sat, 10 Oct 2009 21:13:38 +0000,Amira Al Hussaini,Male,Female,17,1
100738,Sat, 10 Oct 2009 21:14:25 +0000,Amira Al Hussaini,Unknown,Female,15,1
100740,Sat, 10 Oct 2009 21:15:19 +0000,Amira Al Hussaini,Male,Female,37,1
100742,Sat, 10 Oct 2009 21:16:17 +0000,Amira Al Hussaini,Unknown,Female,34,1
100744,Sat, 10 Oct 2009 21:17:32 +0000,Amira Al Hussaini,Unknown,Female,42,1
100746,Sat, 10 Oct 2009 21:19:01 +0000,Amira Al Hussaini,Unknown,Female,21,1
100758,Sat, 10 Oct 2009 23:39:40 +0000,Veronica Khokhlova,Unknown,Female,28,1
100846,Sun, 11 Oct 2009 19:59:11 +0000,Riyadh Al Balushi,Unknown,Unknown,85,7
10098,Tue, 09 May 2006 05:57:06 +0000,Fred Petrossian,Male,Male,47,1
101006,Mon, 02 Nov 2009 05:59:57 +0000,Layal Al Khatib,Neutral,Unknown,388,26
10104,Tue, 09 May 2006 18:13:39 +0000,Fred Petrossian,Neutral,Male,824,33
101049,Tue, 13 Oct 2009 20:04:40 +0000,Amira Al Hussaini,Female,Female,723,65
101062,Tue, 13 Oct 2009 20:54:23 +0000,Amira Al Hussaini,Unknown,Female,13,1
101065,Tue, 13 Oct 2009 20:55:52 +0000,Amira Al Hussaini,Unknown,Female,21,1
101071,Tue, 13 Oct 2009 20:57:33 +0000,Amira Al Hussaini,Unknown,Female,51,2
101075,Tue, 13 Oct 2009 20:59:17 +0000,Amira Al Hussaini,Unknown,Female,35,1
101079,Tue, 13 Oct 2009 21:00:27 +0000,Amira Al Hussaini,Unknown,Female,33,1
1011,Sat, 06 Aug 2005 18:18:22 +0000,Haitham Sabbah,Male,Male,52,1
10111,Tue, 09 May 2006 18:10:41 +0000,Fred Petrossian,Unknown,Male,25,1
10128,Tue, 09 May 2006 20:00:08 +0000,Rachel Rawlins,Neutral,Female,470,23
1013,Sat, 06 Aug 2005 18:51:41 +0000,Haitham Sabbah,Female,Male,27,1
1014,Sat, 06 Aug 2005 19:08:43 +0000,Haitham Sabbah,Unknown,Male,27,1
101420,Sat, 17 Oct 2009 15:37:21 +0000,Marwa Rakha,Neutral,Female,748,30
101466,Fri, 16 Oct 2009 09:40:43 +0000,Maya Norton,Neutral,Female,1068,66
1015,Sat, 06 Aug 2005 19:26:35 +0000,Haitham Sabbah,Unknown,Male,36,1
101541,Fri, 16 Oct 2009 21:40:30 +0000,Anas Alaoui,Neutral,Male,1263,32
101557,Fri, 16 Oct 2009 09:44:33 +0000,Maya Norton,Unknown,Female,23,1
101562,Fri, 16 Oct 2009 09:47:34 +0000,Maya Norton,Male,Female,51,1
101566,Fri, 16 Oct 2009 09:48:55 +0000,Maya Norton,Unknown,Female,33,1
101568,Fri, 16 Oct 2009 09:50:45 +0000,Maya Norton,Unknown,Female,38,1
101570,Fri, 16 Oct 2009 09:52:05 +0000,Maya Norton,Female,Female,32,1
101582,Fri, 16 Oct 2009 09:54:45 +0000,Maya Norton,Male,Female,42,1
101588,Fri, 16 Oct 2009 09:56:26 +0000,Maya Norton,Female,Female,40,1
1016,Sat, 06 Aug 2005 19:33:49 +0000,Haitham Sabbah,Male,Male,40,2
101646,Sat, 17 Oct 2009 16:25:01 +0000,Lina Ben Mhenni,Neutral,Female,351,11
101650,Wed, 30 Nov -0001 00:00:00 +0000,Lina Ben Mhenni,Neutral,Female,554,22
10168,Wed, 10 May 2006 09:33:49 +0000,Fred Petrossian,Male,Male,51,1
101680,Fri, 16 Oct 2009 21:23:50 +0000,Anas Alaoui,Unknown,Male,27,1
1017,Sat, 06 Aug 2005 19:55:36 +0000,Haitham Sabbah,Female,Male,39,1
101779,Thu, 29 Oct 2009 22:49:42 +0000,Marwa Rakha,Neutral,Female,490,32
1018,Sat, 06 Aug 2005 20:08:34 +0000,Haitham Sabbah,Neutral,Male,32,1
101892,Wed, 21 Oct 2009 21:12:29 +0000,Hisham Almiraat,Neutral,Male,67,1
1019,Sun, 07 Aug 2005 11:14:07 +0000,Haitham Sabbah,Neutral,Male,41,1
1020,Sun, 07 Aug 2005 11:26:56 +0000,Haitham Sabbah,Unknown,Male,47,1
1021,Sun, 07 Aug 2005 12:02:43 +0000,Haitham Sabbah,Unknown,Male,25,1
102180,Fri, 23 Oct 2009 04:35:24 +0000,Hisham Almiraat,Neutral,Male,1419,63
