name,likely_byline_gender
Shams Ahmad,Unknown
Asteris Masouras,Unknown
Saeko Robinson,Unknown
Tarek Amr,Male
Luis Henrique,Male
Sasa Milosevic,Unknown
Haifa Al Rasheed,Unknown
Janet Gunter,Female
Renata Avila,Female
Betsy Fisher,Female
Tsavkko,Male
Juan Arellano,Male
Tomomi Sasaki,Female
Miriam OBrien,Female
Diana Rhudick,Female
Carolina Rumuat,Female
yooeun,Female
Oiwan,Female
Lina Ben Mhenni,Female
Nicholas Laughlin,Male
Lova Rakotomalala,Male
Solana Larsen,Unknown
Moussa Bachir,Male
Marietta Le,Female
Firuzeh Shokooh Valle,Female
rezwan,Male
Silvia Vinas,Female
Feng37,Male
mong,Male
deb.baldelli,Unknown
ndesanjo macha,Male
Gregory Asmolov,Male
Amira Al Hussaini,Female
Hisham,Unknown
joaomiguel,Unknown
Juliana Rincon Parra,Female
Scilla Alecci,Unknown
Askhat Yerkimbay,Unknown
Julie Owono,Female
Ammar Faheem,Unknown
Hamid Tehrani,Male
Andrea Arzaba,Female
Janine Mendes-Franco,Female
Andy Yee,Male
Haute Haiku,Unknown
Lynn Palermo,Female
Onnik Krikorian,Male
Judith Townend,Female
Mirian Jugheli,Unknown
Sara Moreira,Female
Mohamed ElGohary,Male
sonam,Unknown
Kevin Rennie,Male
Ayako Yokota,Unknown
Julius Rocas,Male
Sylwia Presley,Unknown
Eduardo Avila,Male
Pamela Bulwayo,Female
Antoun Issa,Unknown
Jer-Renn Lam,Unknown
David Reid,Male
Bhumika Ghimire,Unknown
Jillian York,Female
Layal Al Khatib,Unknown
Alexey Sidorenko,Male
Claire Ulrich,Female
Sana Saleem,Unknown
Ellery Roberts Biddle,Male
Veronica Khokhlova,Female
Csar Santiago,Unknown
Melissa Mann,Female
Matt Holland,Male
Adam Kesher,Male
Etienne Mashuli,Unknown
Milton Ramirez,Male
Ruslan Trad,Unknown
Gershom Ndhovu,Unknown
Marco Veliz,Male
vergilyeh,Unknown
Negarra Akili Kudumu,Unknown
Fadila Ahmad,Unknown
Dareen Al Saad,Unknown
Soneka Kamuhuza,Unknown
Tetyana Bohdanova,Unknown
Stephen Cairns,Male
Filip Stojanovski,Male
Portnoy,Unknown
Ashley Cleek,Female
Sopheap Chak,Unknown
Rhita Boufelliga,Unknown
Vadim Isakov,Unknown
Viktoria Boyko,Unknown
Huyen Chip,Unknown
Aygun Janmammadova,Unknown
Tibor Blazko,Unknown
Marianna Tishchenko,Female
Collins Mbalo,Male
Faisal Kapadia,Unknown
Diego Casaes,Male
Aparna Ray,Female
Lasto Adri,Female
Alfredo Richner,Male
Ela Stapley,Female
Ivan Sigal,Male
Anas Qtiesh,Unknown
Rebekah Heacock,Female
Gilad Lotan,Unknown
Georgia Popplewell,Female
Karlo Mongaya,Unknown
Jakub Gornicki,Unknown
Mays Dagher,Unknown
Percy Balemans,Male
Faroog,Unknown
Simon Maghakyan,Male
Shabina Khatri,Unknown
Shaden Abdul Rahman,Unknown
Carmel L. Vaisman,Female
Nadine Toukan,Female
Mahid,Unknown
angshah,Unknown
Salam Adil,Unknown
Gina Cardenas,Female
Atilio Baroni Filho,Unknown
Mark Jordahl,Male
Duy Hoang,Unknown
Abdullatif Alomar,Unknown
paulagoes,Female
Damien Moroney,Male
Nermeen Edress,Unknown
Ayesha Saldanha,Female
Julian Ortega,Male
Maria Egupova,Female
Susannah Vila,Female
jeremyclarke,Unknown
Ernesto Priego,Male
Gabriela Garcia Calderon,Female
Anna Gueye,Female
Fiona Leonard,Female
Dmitry Davidov,Unknown
Afef Abrougui,Unknown
Maria Grabowski Kjaer,Female
Nabila Taj,Unknown
George Esunge Fominyen,Male
Esther Johnson,Female
Muhammad Farhan,Male
Thiana Biondo,Unknown
Jen Fumero,Unknown
Yacoub Slaise,Unknown
Eleanor Staniforth,Female
victor,Male
Marianne Diaz,Female
Avylavitra,Unknown
Vilhelm,Male
Nambiza,Unknown
John Liebhardt,Male
Jennifer.Zhang,Unknown
Ana Weissz,Female
Elena Ignatova,Female
Lester Bolicenni,Male
Roger Franchini,Male
tan,Unknown
Imane Eddbali,Unknown
