organizations,count,first_date,last_date,lat,lon
Supreme Military Council,1,2011-02-11 11:08:56 -0500,2011-02-11 11:08:56 -0500,,
Supreme Council of the Armed Forces,1,2012-08-18 09:48:12 -0400,2012-08-18 09:48:12 -0400,,
Muslim Brotherhood,61,2012-08-18 09:48:12 -0400,2013-08-21 04:23:51 -0400,,
Supreme Council of Armed Forces,2,2012-08-18 09:48:12 -0400,2013-07-03 17:01:03 -0400,,
Egyptian Army,1,2012-08-18 09:48:12 -0400,2012-08-18 09:48:12 -0400,,
Muslim,2,2012-08-18 09:48:12 -0400,2013-07-03 15:40:12 -0400,,
Constitutional Court,2,2012-06-24 10:29:45 -0400,2013-07-03 15:40:12 -0400,,
'Freedom &amp; Justice,1,2012-10-03 16:24:21 -0400,2012-10-03 16:24:21 -0400,,
CNN International,1,2013-07-03 15:40:12 -0400,2013-07-03 15:40:12 -0400,,
Army,2,2013-07-03 15:58:15 -0400,2013-07-03 15:58:15 -0400,,
Armed Forces,2,2013-07-03 15:58:15 -0400,2013-07-03 15:58:15 -0400,,
republican,1,2013-07-03 17:47:26 -0400,2013-07-03 17:47:26 -0400,,
NBC News,1,2013-07-05 18:25:23 -0400,2013-07-05 18:25:23 -0400,,
Suez,1,2013-07-05 18:25:23 -0400,2013-07-05 18:25:23 -0400,,
CNN,6,2013-07-06 06:04:45 -0400,2013-07-06 06:04:45 -0400,,
Egyptian Armed Forces,1,2013-07-06 06:04:45 -0400,2013-07-06 06:04:45 -0400,,
US Administration,1,2013-07-06 06:04:45 -0400,2013-07-06 06:04:45 -0400,,
Facebook,5,2013-07-08 18:37:41 -0400,2013-08-14 16:29:29 -0400,,
Fox News,1,2013-07-08 18:37:41 -0400,2013-07-08 18:37:41 -0400,,
Amr Salama El-qazaz,1,2013-07-16 18:48:18 -0400,2013-07-16 18:48:18 -0400,,
Cairo University,3,2013-08-14 03:31:05 -0400,2013-08-14 16:29:29 -0400,,
Emergency Authority,1,2013-08-14 03:31:05 -0400,2013-08-14 03:31:05 -0400,,
Power Rangers,1,2013-08-14 03:31:05 -0400,2013-08-14 03:31:05 -0400,,
Reuters Cairo,1,2013-08-14 04:35:11 -0400,2013-08-14 04:35:11 -0400,,
Bel Trew,1,2013-08-14 04:35:11 -0400,2013-08-14 04:35:11 -0400,,
The Washington Post,1,2013-08-14 04:35:11 -0400,2013-08-14 04:35:11 -0400,,
Cairo Wire,1,2013-08-14 04:35:11 -0400,2013-08-14 04:35:11 -0400,,
Christian,1,2013-08-14 16:29:29 -0400,2013-08-14 16:29:29 -0400,,
Fouad MD,1,2013-08-14 16:29:29 -0400,2013-08-14 16:29:29 -0400,,
Coptic,1,2013-08-14 16:29:29 -0400,2013-08-14 16:29:29 -0400,,
Watani Weekly Newspaper,1,2013-08-14 16:29:29 -0400,2013-08-14 16:29:29 -0400,,
ElShamy,1,2013-08-14 17:07:05 -0400,2013-08-14 17:07:05 -0400,,
Association of Russian Travel Agents,1,2013-08-18 19:06:57 -0400,2013-08-18 19:06:57 -0400,,
Mersa Matruh,1,2013-08-18 19:06:57 -0400,2013-08-18 19:06:57 -0400,,
Interfax,1,2013-08-18 19:06:57 -0400,2013-08-18 19:06:57 -0400,,
Muslim Brotherhood Rule,1,2013-06-19 17:11:41 -0400,2013-06-19 17:11:41 -0400,,
Supreme Council for Armed Forced,1,2013-06-19 17:11:41 -0400,2013-06-19 17:11:41 -0400,,
Supreme Council for Armed Forces,1,2013-06-30 11:44:21 -0400,2013-06-30 11:44:21 -0400,,
Muslim Brotherhood 
Others,1,2013-06-30 11:44:21 -0400,2013-06-30 11:44:21 -0400,,
