places,count,first_date,last_date,lat,lon
Bolivarian Republic of Venezuela,151,2014-02-15 13:55:20 -0500,2014-02-19 17:36:30 -0500,8.0,-66.0
Caracas,22,2014-02-15 13:55:20 -0500,2014-02-19 10:01:06 -0500,10.48801,-66.87919
Estado Táchira,12,2014-02-15 13:55:20 -0500,2014-02-27 16:06:12 -0500,7.83333,-72.08333
Valencia,8,2014-02-16 16:16:13 -0500,2014-02-20 18:09:58 -0500,10.16202,-68.00765
Barquisimeto,2,2014-02-16 16:16:13 -0500,2014-02-19 10:01:06 -0500,10.07389,-69.32278
Barcelona,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,41.38879,2.15899
Maracay,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,10.24694,-67.59583
Maracaibo,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,10.63167,-71.64056
Mérida,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,20.9767,-89.62059
San Cristóbal,3,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,7.76694,-72.225
Puerto Ordaz,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,8.29829,-62.72198
Estado Bolívar,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,6.33333,-63.5
Estado Anzoátegui,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,9.0,-64.5
Estado Aragua,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,10.0,-67.16667
Estado Carabobo,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,10.16667,-68.08333
Republic of Chile,1,2014-02-19 10:01:06 -0500,2014-02-19 10:01:06 -0500,-30.0,-71.0
Kingdom of Spain,1,2014-02-19 10:01:06 -0500,2014-02-19 10:01:06 -0500,40.0,-4.0
Republic of Malta,2,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,35.91667,14.43333
Kingdom of the Netherlands,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,52.25,5.75
Commonwealth of Australia,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,-25.0,135.0
Sydney,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,-33.86785,151.20732
Madrid,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,40.4165,-3.70256
New York City,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,40.71427,-74.00597
Nueva York,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,17.35361,-92.7775
New York,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,43.00035,-75.4999
South American Point,2,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,36.1811,-114.01218
Altamira,4,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,-3.20333,-52.20639
Montecristo,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,8.2971,-74.4733
Mexico,3,2014-02-23 17:59:20 -0500,2014-02-23 17:59:20 -0500,23.0,-102.0
Mexico City,1,2014-02-23 17:59:20 -0500,2014-02-23 17:59:20 -0500,19.42847,-99.12766
Polanco,1,2014-02-23 17:59:20 -0500,2014-02-23 17:59:20 -0500,19.41667,-99.2
Organization of American States Annex,2,2014-02-23 17:59:20 -0500,2014-03-06 14:00:25 -0500,38.89261,-77.04275
Republic of Peru,8,2014-02-24 11:01:31 -0500,2014-03-04 07:06:43 -0500,-10.0,-75.25
Republic of Colombia,2,2014-02-24 11:01:31 -0500,2014-03-06 14:00:25 -0500,4.0,-73.25
Republic of Ecuador,2,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,-1.25,-78.25
Plurinational State of Bolivia,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,-17.0,-65.0
Lima,3,2014-02-24 11:01:31 -0500,2014-03-04 07:06:43 -0500,-12.04318,-77.02824
Maiquetía,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,10.59621,-66.95485
Chacao,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,10.49598,-66.85347
Boyacá,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,5.45372,-73.3625
Bogotá,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,4.60971,-74.08175
Ayacucho,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,-13.15878,-74.22321
Simón Bolívar,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,-17.82493,-63.18363
Atlantic,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,41.4036,-95.01388
Simón Bolívar International Airport,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,11.11965,-74.23065
Oriental Republic of Uruguay,3,2014-02-27 16:06:12 -0500,2014-02-27 16:06:12 -0500,-33.0,-56.0
Republic of Cuba,7,2014-02-27 16:06:12 -0500,2014-03-04 07:06:43 -0500,22.0,-79.5
United States,4,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,39.76,-98.5
Cumaná,1,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,10.45397,-64.18256
El Guajiro Número Uno,1,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,22.48333,-83.3
Republic of Panama,9,2014-03-06 14:00:25 -0500,2014-03-06 14:00:25 -0500,9.0,-80.0
Panama Canal,1,2014-03-06 14:00:25 -0500,2014-03-06 14:00:25 -0500,26.12064,-80.27588
Republic of Uganda,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,1.25,32.5
Bangladesh,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,24.0,90.0
United Republic of Tanzania,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,-6.0,35.0
Republic of Kenya,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,1.0,38.0
Republic of Botswana,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,-22.0,24.0
Republic of Indonesia,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,-5.0,120.0
Caricuao,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,10.43337,-66.98313
