people,count,first_date,last_date,lat,lon
Barack Obama,3,2009-01-22 20:57:43 -0500,2010-02-11 12:47:29 -0500,,
Prerna,2,2009-01-22 20:57:43 -0500,2009-01-22 20:57:43 -0500,,
Maria,1,2009-01-22 20:57:43 -0500,2009-01-22 20:57:43 -0500,,
Alexander Spero,1,2009-01-22 20:57:43 -0500,2009-01-22 20:57:43 -0500,,
Maegan la Mala of VivirLatino,1,2009-01-22 20:57:43 -0500,2009-01-22 20:57:43 -0500,,
Herta Llusho,23,2009-08-17 15:14:06 -0400,2009-09-03 17:09:21 -0400,,
Story

Herta,1,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Hersha,1,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Kyle de Beausset,2,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Lirjon,2,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Gandhi,1,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Martin Luther King,1,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Taha,2,2009-08-17 15:14:06 -0400,2009-08-17 15:14:06 -0400,,
Jorge-Alonso Chehade,6,2009-09-03 17:09:21 -0400,2009-09-03 17:09:21 -0400,,
Alsonso,1,2009-09-03 17:09:21 -0400,2009-09-03 17:09:21 -0400,,
Melanie Smollin,1,2009-09-03 17:09:21 -0400,2009-09-03 17:09:21 -0400,,
Ali Noorani,1,2009-09-30 10:57:43 -0400,2009-09-30 10:57:43 -0400,,
Ernestina

Blogger Teresa Puente,2,2009-09-30 10:57:43 -0400,2009-09-30 10:57:43 -0400,,
Jorge-Alonso Chehade

Peruvian-American Alonso,3,2009-09-30 10:57:43 -0400,2009-09-30 10:57:43 -0400,,
Patty Murray,1,2009-09-30 10:57:43 -0400,2009-09-30 10:57:43 -0400,,
Maria Cantwell,1,2009-09-30 10:57:43 -0400,2009-09-30 10:57:43 -0400,,
El Puente,1,2009-10-01 09:58:27 -0400,2009-10-01 09:58:27 -0400,,
Juan Gomez,1,2009-10-01 09:58:27 -0400,2009-10-01 09:58:27 -0400,,
Obama,1,2009-10-01 09:58:27 -0400,2009-10-01 09:58:27 -0400,,
Kemi Bello,1,2010-02-11 12:47:29 -0500,2010-02-11 12:47:29 -0500,,
